"run_status","run_id","statement_date","retrieved_at","supplier","currency","source_file","source_page","source_row","reference","original_total","outstanding","amount_meaning","result","xero_bill_ids","xero_links","xero_statuses","compared_statement_original","compared_xero_original","difference_statement_minus_xero","reasons","action","raw_document_values"
"completed","synthetic-example-001","2026-08-31","2026-09-16T08:01:00.000Z","Example Office Supplies Ltd (synthetic)","GBP","statement.csv","","2","INV-100","120.00","120.00","tax_inclusive_original","Matched","00000000-0000-4000-8000-000000000001","https://go.xero.com/AccountsPayable/View.aspx?InvoiceID=00000000-0000-4000-8000-000000000001","AUTHORISED","120.00","120.00","0.00","ORIGINAL_TOTALS_AGREE","Original totals agree. This is not a payment or balance reconciliation.","{""reference"":""INV-100"",""date"":""2026-08-01"",""currency"":""GBP"",""original_total"":""120.00"",""outstanding"":""120.00"",""kind"":""invoice"",""amount_meaning"":""tax_inclusive_original""}"
"completed","synthetic-example-001","2026-08-31","2026-09-16T08:01:00.000Z","Example Office Supplies Ltd (synthetic)","GBP","statement.csv","","3","INV-101","250.00","250.00","tax_inclusive_original","Amount difference","00000000-0000-4000-8000-000000000002","https://go.xero.com/AccountsPayable/View.aspx?InvoiceID=00000000-0000-4000-8000-000000000002","AUTHORISED","250.00","245.00","5.00","ORIGINAL_TOTALS_DIFFER","Review the original invoice and both original totals; do not assume the cause of the difference.","{""reference"":""INV-101"",""date"":""2026-08-02"",""currency"":""GBP"",""original_total"":""250.00"",""outstanding"":""250.00"",""kind"":""invoice"",""amount_meaning"":""tax_inclusive_original""}"
"completed","synthetic-example-001","2026-08-31","2026-09-16T08:01:00.000Z","Example Office Supplies Ltd (synthetic)","GBP","statement.csv","","4","INV-102","80.00","80.00","tax_inclusive_original","Not found in retrieved Xero data","","","","","","","NO_REFERENCE_IN_COMPLETE_RETRIEVAL","Check the reference and supplier records. Absence does not establish a missing document, unpaid debt or accounting error.","{""reference"":""INV-102"",""date"":""2026-08-03"",""currency"":""GBP"",""original_total"":""80.00"",""outstanding"":""80.00"",""kind"":""invoice"",""amount_meaning"":""tax_inclusive_original""}"
"completed","synthetic-example-001","2026-08-31","2026-09-16T08:01:00.000Z","Example Office Supplies Ltd (synthetic)","GBP","statement.csv","","5","INV-103","65.00","0.00","tax_inclusive_original","Matched","00000000-0000-4000-8000-000000000003","https://go.xero.com/AccountsPayable/View.aspx?InvoiceID=00000000-0000-4000-8000-000000000003","PAID","65.00","65.00","0.00","ORIGINAL_TOTALS_AGREE","Original totals agree. This is not a payment or balance reconciliation.","{""reference"":""INV-103"",""date"":""2026-08-04"",""currency"":""GBP"",""original_total"":""65.00"",""outstanding"":""0.00"",""kind"":""invoice"",""amount_meaning"":""tax_inclusive_original""}"
"completed","synthetic-example-001","2026-08-31","2026-09-16T08:01:00.000Z","Example Office Supplies Ltd (synthetic)","GBP","statement.csv","","6","INV-104","200.00","100.00","tax_inclusive_original","Review required","00000000-0000-4000-8000-000000000004","https://go.xero.com/AccountsPayable/View.aspx?InvoiceID=00000000-0000-4000-8000-000000000004","AUTHORISED","","","","PARTIAL_PAYMENT_ON_STATEMENT | PARTIAL_PAYMENT_IN_XERO","Review the source row and any Xero candidates. Confirm reference, amount meaning, currency and payment/credit context.","{""reference"":""INV-104"",""date"":""2026-08-05"",""currency"":""GBP"",""original_total"":""200.00"",""outstanding"":""100.00"",""kind"":""invoice"",""amount_meaning"":""tax_inclusive_original""}"
"completed","synthetic-example-001","2026-08-31","2026-09-16T08:01:00.000Z","Example Office Supplies Ltd (synthetic)","GBP","statement.csv","","7","CR-105","'-20.00","'-20.00","tax_inclusive_original","Review required","","","","","","","UNSUPPORTED_LINE_TYPE | NEGATIVE_AMOUNT","Review the source row and any Xero candidates. Confirm reference, amount meaning, currency and payment/credit context.","{""reference"":""CR-105"",""date"":""2026-08-06"",""currency"":""GBP"",""original_total"":""-20.00"",""outstanding"":""-20.00"",""kind"":""credit"",""amount_meaning"":""tax_inclusive_original""}"
"completed","synthetic-example-001","2026-08-31","2026-09-16T08:01:00.000Z","Example Office Supplies Ltd (synthetic)","GBP","statement.csv","","8","INV-106","30.00","30.00","tax_inclusive_original","Review required","00000000-0000-4000-8000-000000000005","https://go.xero.com/AccountsPayable/View.aspx?InvoiceID=00000000-0000-4000-8000-000000000005","AUTHORISED","","","","DUPLICATE_STATEMENT_REFERENCE","Review the source row and any Xero candidates. Confirm reference, amount meaning, currency and payment/credit context.","{""reference"":""INV-106"",""date"":""2026-08-07"",""currency"":""GBP"",""original_total"":""30.00"",""outstanding"":""30.00"",""kind"":""invoice"",""amount_meaning"":""tax_inclusive_original""}"
"completed","synthetic-example-001","2026-08-31","2026-09-16T08:01:00.000Z","Example Office Supplies Ltd (synthetic)","GBP","statement.csv","","9","INV-106","30.00","30.00","tax_inclusive_original","Review required","00000000-0000-4000-8000-000000000005","https://go.xero.com/AccountsPayable/View.aspx?InvoiceID=00000000-0000-4000-8000-000000000005","AUTHORISED","","","","DUPLICATE_STATEMENT_REFERENCE","Review the source row and any Xero candidates. Confirm reference, amount meaning, currency and payment/credit context.","{""reference"":""INV-106"",""date"":""2026-08-07"",""currency"":""GBP"",""original_total"":""30.00"",""outstanding"":""30.00"",""kind"":""invoice"",""amount_meaning"":""tax_inclusive_original""}"
"completed","synthetic-example-001","2026-08-31","2026-09-16T08:01:00.000Z","Example Office Supplies Ltd (synthetic)","GBP","statement.csv","","10","INV-107","","45.00","unknown","Review required","00000000-0000-4000-8000-000000000006","https://go.xero.com/AccountsPayable/View.aspx?InvoiceID=00000000-0000-4000-8000-000000000006","AUTHORISED","","","","UNCONFIRMED_AMOUNT_MEANING | NO_ORIGINAL_TOTAL","Review the source row and any Xero candidates. Confirm reference, amount meaning, currency and payment/credit context.","{""reference"":""INV-107"",""date"":""2026-08-08"",""currency"":""GBP"",""original_total"":"""",""outstanding"":""45.00"",""kind"":""invoice"",""amount_meaning"":""unknown""}"
"completed","synthetic-example-001","2026-08-31","2026-09-16T08:01:00.000Z","Example Office Supplies Ltd (synthetic)","GBP","statement.csv","","11","INV-108","99.00","99.00","tax_inclusive_original","Review required","00000000-0000-4000-8000-000000000007 | 00000000-0000-4000-8000-000000000008","https://go.xero.com/AccountsPayable/View.aspx?InvoiceID=00000000-0000-4000-8000-000000000007 | https://go.xero.com/AccountsPayable/View.aspx?InvoiceID=00000000-0000-4000-8000-000000000008","AUTHORISED | AUTHORISED","","","","MULTIPLE_XERO_CANDIDATES","Review the source row and any Xero candidates. Confirm reference, amount meaning, currency and payment/credit context.","{""reference"":""INV-108"",""date"":""2026-08-09"",""currency"":""GBP"",""original_total"":""99.00"",""outstanding"":""99.00"",""kind"":""invoice"",""amount_meaning"":""tax_inclusive_original""}"
